pl_name,pl_letter,pl_rade,pl_masse,pl_dens,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,st_spectype,disc_year,discoverymethod,disc_facility,tran_flag,ra,dec,planet_size_class,discovery_era,habitable_candidate
WASP-17 b,b,22.317119,154.46538,0.0817,3.735438,1771.0,,6650.0,1.572,1.306,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
GJ 3470 b,b,4.83,13.9,0.72,3.33665,,,3600.0,0.568,0.539,,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
HD 3167 b,b,1.557,,,0.959628,1860.0,,5370.0,0.828,0.883,,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
HD 3167 c,c,2.85,,,29.8454,500.0,,5370.0,0.828,0.883,,2016,Transit,K2,1,8.7401487,4.3807215,Neptune-like,2016+,False
WASP-17 b,b,19.582123,154.46538,0.121,3.735438,,,,1.572,1.306,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
GJ 3470 b,b,4.57,13.9,0.8,3.3366496,593.5,,3600.0,0.547,0.539,,2012,Radial Velocity,La Silla Observatory,1,119.7735021,15.391209,Neptune-like,2010–2015,False
HD 3167 b,b,1.7,5.02,5.6,0.959641,,1625.0,5261.0,0.86,0.86,K0 V,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
HD 3167 c,c,3.01,9.8,1.97,29.8454,,16.6,5261.0,0.86,0.86,K0 V,2016,Transit,K2,1,8.7401487,4.3807215,Neptune-like,2016+,False
HD 3167 c,c,2.86,,,29.83832,531.0,,5528.0,0.87,0.94,,2016,Transit,K2,1,8.7401487,4.3807215,Neptune-like,2016+,False
WASP-62 b,b,15.58051,180.52744,0.262,4.411953,,,6230.0,1.28,1.25,,2012,Transit,SuperWASP,1,87.1398205,-63.9883286,Gas Giant,2010–2015,False
WASP-96 b,b,13.4508,155.7367,0.352,3.4252602,,,5500.0,1.05,1.06,,2014,Transit,SuperWASP,1,1.0465696,-47.3606352,Gas Giant,2010–2015,False
WASP-17 b,b,22.317119,162.72896,0.08,3.7354845,,,6650.0,1.572,1.306,,2009,Transit,SuperWASP,1,239.9622479,-28.0617941,Gas Giant,Pre-2010,False
WASP-39 b,b,14.23543,87.40325,0.166,4.0552947,,,5400.0,0.895,0.93,,2011,Transit,SuperWASP,1,217.3266477,-3.4444994,Gas Giant,2010–2015,False
WASP-43 b,b,11.612524,651.5515,2.28,0.81347437,,,4400.0,0.667,0.717,,2011,Transit,SuperWASP,1,154.9081869,-9.8064431,Gas Giant,2010–2015,False
HAT-P-1 b,b,13.921578,166.86075,0.339,4.46529976,,,5980.0,1.135,1.133,,2006,Transit,HATNet,1,344.4453632,38.674919,Gas Giant,Pre-2010,False
WASP-103 b,b,17.127352,473.5667,,0.925542,,,6110.0,1.436,1.22,,2014,Transit,SuperWASP,1,249.3148604,7.1833758,Gas Giant,2010–2015,False
HR 8799 e,e,13.11453,3178.3,,,1150.0,,7400.0,,,A5,2010,Imaging,W. M. Keck Observatory,0,346.8701486,21.1340376,Gas Giant,2010–2015,False
HAT-P-11 b,b,4.68,,,4.88780026,794.0,,4766.0,0.742,0.786,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
HD 3167 b,b,1.626,5.59,7.2,0.96,,,5261.0,0.88,0.837,,2016,Transit,K2,1,8.7401487,4.3807215,Super-Earth,2016+,False
WASP-39 b,b,14.336311,89.31023,0.167,4.0552941,1166.0,,5485.0,0.939,0.913,,2011,Transit,SuperWASP,1,217.3266477,-3.4444994,Gas Giant,2010–2015,False
HAT-P-11 b,b,4.84,,,4.887802706,801.0,97.1,4777.0,0.765,0.829,,2008,Transit,HATNet,1,297.7101763,48.0818635,Neptune-like,Pre-2010,False
