pl_name,pl_rade,pl_orbper,sy_snum,sy_pnum,disc_year
Kepler-283 c,2.055,,1,2,2014
Kepler-117 b,6.04,18.79590048,1,2,2014
K2-3 b,1.44,10.05443,1,3,2015
Kepler-256 b,1.37,1.620467836,1,4,2014
TOI-2420 b,15.02003414,5.842641,1,1,2024
Kepler-17 b,14.82,1.48571127,1,1,2011
HD 106315 c,4.4,21.058,1,2,2017
Kepler-1882 b,1.55,13.7872627,1,1,2021
TrES-4 b,19.447615,3.5539268,2,1,2007
Kepler-229 b,2.49,6.252964898,1,3,2014
Kepler-1256 b,1.5,12.4128518,1,1,2016
Kepler-910 b,0.82,2.364369015,1,1,2016
K2-391 b,1.371,4.622654,1,1,2022
Kepler-438 b,0.97,35.2330694,1,1,2015
Kepler-330 c,2.21,15.95545002,1,2,2014
Kepler-668 b,2.52,8.35389523,1,1,2016
Kepler-903 c,2.75,62.9224936,1,2,2016
Kepler-143 c,2.36,27.08247084,1,2,2014
Kepler-212 c,2.06,31.80474045,1,2,2014
Kepler-294 b,1.73,3.70120482,1,2,2014
TOI-1117 b,2.46,2.22816,1,3,2025
Kepler-989 b,2.56,7.964315352,1,1,2016
Kepler-345 b,1.08,7.42,1,2,2014
Kepler-198 d,1.53,1.31184443,1,3,2016
WASP-100 b,18.94321,2.849375,2,1,2014
Kepler-296 e,1.08,34.14189,2,5,2014
Kepler-378 c,1.8,28.9059687,1,2,2014
Kepler-871 b,3.14,22.0459018,1,1,2016
Kepler-1424 b,1.1,29.60913,1,1,2016
Kepler-119 b,4.283,,1,2,2014
Kepler-107 b,1.55,3.180024635,1,4,2014
Kepler-149 c,1.753,,1,3,2014
Kepler-148 c,3.55,4.180049552,1,3,2014
K2-368 d,1.948,20.201085,1,3,2022
Kepler-278 c,2.99,51.075756,1,2,2014
HD 106315 b,2.39124388,9.58028883839,1,2,2017
TOI-1075 b,1.86255873,0.60473924068,1,1,2022
Kepler-988 b,1.93,17.76076524,1,1,2016
CoRoT-23 b,11.77,3.6313,1,1,2011
Kepler-327 d,1.73,13.969457,1,3,2014
Kepler-733 b,2.82,20.83424726,1,1,2016
Kepler-1540 b,2.3,125.4131177,2,1,2016
Kepler-184 d,2.497,,1,3,2014
